kabupaten_kota,kecamatan,latitude,longitude,is_kota,populasi,kepadatan_penduduk,income_per_kapita,jarak_ke_jalan_utama,jarak_ke_pasar,akses_internet_pct,skor_infrastruktur,jumlah_kompetitor_radius_3km,jarak_ke_bank_terdekat,penetrasi_kur_pct,risiko_banjir,risiko_gempa
Kab. Bandung,Cileunyi,-7.000074,107.662114,False,93927,6979.0,8.85,2.16,5.98,65.8,72.0,0,6.65,18.0,0.05,0.349
Kab. Bandung,Cimenyan,-6.942881,107.605785,False,200718,60915.2,8.22,1.53,0.81,80.0,86.3,22,2.22,37.5,0.236,0.174
Kab. Bandung,Cilengkrang,-7.035037,107.534959,False,101745,1563.5,3.38,0.78,10.46,65.3,69.4,1,5.24,34.3,0.067,0.382
Kab. Bandung,Bojongsoang,-7.050707,107.648588,False,51674,3452.9,7.9,0.65,9.8,70.4,72.9,0,1.5,35.3,0.147,0.442
Kab. Bandung,Margahayu,-6.963822,107.623292,False,61855,4933.5,8.02,3.19,1.35,85.3,84.0,1,2.49,39.6,0.136,0.166
Kab. Bandung,Margaasih,-7.056706,107.665186,False,282260,44952.2,15.0,11.07,1.15,74.9,60.7,17,13.47,35.0,0.191,0.352
Kab. Bandung,Katapang,-6.926809,107.543974,False,139650,9749.8,6.37,6.69,11.16,79.9,61.0,2,5.54,31.6,0.271,0.323
Kab. Bandung,Dayeuhkolot,-7.030908,107.539345,False,61792,9823.0,15.0,3.9,2.66,76.7,76.8,8,2.85,28.3,0.166,0.334
Kab. Bandung,Banjaran,-7.011321,107.593961,False,277152,48121.4,9.37,4.22,3.06,72.7,73.7,19,2.57,28.3,0.173,0.454
Kab. Bandung,Pameungpeuk,-6.990889,107.556597,False,124214,3188.7,7.37,5.6,9.7,83.1,66.8,5,2.11,41.9,0.219,0.217
Kab. Bandung,Pangalengan,-6.962104,107.532319,False,208781,39948.2,9.71,0.51,7.64,86.6,83.2,9,2.1,32.5,0.153,0.174
Kab. Bandung,Arjasari,-7.013257,107.568618,False,236116,17972.8,13.13,1.81,2.03,78.2,83.3,0,1.37,33.8,0.126,0.417
Kab. Bandung,Cimaung,-6.987029,107.635628,False,83934,24757.1,10.83,8.34,1.3,75.2,67.2,4,0.57,30.9,0.172,0.245
Kab. Bandung,Ibun,-7.028052,107.592278,False,333654,38009.1,12.16,2.26,1.53,87.5,87.0,12,3.65,28.6,0.105,0.428
Kab. Bandung,Paseh,-6.965214,107.517432,False,143187,3332.3,5.8,3.76,2.27,66.5,73.1,3,4.67,19.5,0.28,0.183
Kab. Bandung,Kertasari,-6.962793,107.537284,False,75789,1434.6,8.0,5.58,2.38,71.7,70.9,0,9.74,40.4,0.176,0.178
Kab. Bandung,Pacet,-7.049592,107.661822,False,83019,9810.2,12.23,4.64,8.94,68.2,63.4,2,4.26,37.1,0.144,0.446
Kab. Bandung,Ciparay,-6.905499,107.639344,False,98797,2138.7,5.77,7.01,1.85,70.5,67.6,1,2.35,31.5,0.286,0.206
Kab. Bandung,Solokanjeruk,-7.011262,107.525628,False,256304,19240.0,5.86,15.0,0.2,86.7,63.8,4,10.1,28.0,0.193,0.313
Kab. Bandung,Majalaya,-6.950523,107.580424,False,146889,34487.8,7.62,3.91,0.57,84.5,82.9,16,0.17,34.8,0.221,0.161
Kab. Bandung,Rancaekek,-7.040474,107.589228,False,500000,8242.6,8.07,11.75,1.1,58.6,51.8,4,0.63,26.1,0.184,0.406
Kab. Bandung,Cicalengka,-7.054498,107.655491,False,80665,11191.9,9.1,1.36,3.86,77.6,81.8,9,2.35,37.7,0.15,0.466
Kab. Bandung,Nagreg,-7.018595,107.616004,False,99297,4202.8,5.71,2.45,1.04,63.8,76.5,0,4.4,27.1,0.073,0.308
Kab. Bandung,Cikancung,-7.010126,107.593211,False,247792,45872.1,11.53,5.23,11.1,63.5,57.1,18,2.63,35.6,0.182,0.363
Kab. Bandung,Baleendah,-6.972526,107.539577,False,137626,2259.1,5.79,0.38,2.83,76.3,84.9,8,3.98,40.9,0.126,0.244
