index,actual_skor_potensi,predicted_skor_potensi,kabupaten_kota,kecamatan,residual
6538,46.56,46.566986,Kab. Ciamis,Sindangkasih,-0.006986083984372726
7500,50.66,50.61106,Kab. Sumedang,Ujungjaya,0.04893890380859034
9696,75.03,75.05206,Kab. Bandung Barat,Cipongkor,-0.022062988281248863
6732,38.77,38.871742,Kab. Kuningan,Pancalang,-0.10174224853515312
7559,32.51,32.706543,Kab. Sumedang,Situraja,-0.196542968750002
8308,43.06,42.924427,Kab. Subang,Pusakajaya,0.13557296752929915
6706,18.92,18.910366,Kab. Kuningan,Mandirancan,0.00963394165039233
4954,52.31,52.343143,Kab. Cirebon,Dukupuntang,-0.03314346313476335
859,73.98,73.99189,Kota Bandung,Sukajadi,-0.011889953613277271
3331,86.59,86.60726,Kota Bekasi,Mustika Jaya,-0.01726165771484034
2919,76.93,76.9803,Kab. Bekasi,Bojongmangu,-0.05030090332030568
6432,56.82,56.68289,Kab. Ciamis,Panawangan,0.13710815429687528
5450,29.54,29.441456,Kab. Sukabumi,Warungkiara,0.09854415893554602
4170,18.92,18.961836,Kab. Tasikmalaya,Tanjungjaya,-0.04183586120605298
4000,26.57,26.492966,Kab. Tasikmalaya,Parungponteng,0.07703430175781278
1927,81.47,81.608955,Kab. Bogor,Bojonggede,-0.1389553833007824
3610,84.88,84.87225,Kota Depok,Cilodong,0.0077465820312454525
6684,16.16,16.104996,Kab. Kuningan,Darma,0.05500427246093764
7258,71.11,70.98471,Kab. Majalengka,Malausma,0.12528930664062443
8594,30.24,30.174267,Kab. Purwakarta,Cibatu,0.06573318481445156
3993,50.44,50.468456,Kab. Tasikmalaya,Cibalong,-0.02845626831054915
4306,67.77,67.74556,Kota Tasikmalaya,Mangkubumi,0.02444030761718352
7851,54.78,54.881435,Kab. Indramayu,Bongas,-0.10143539428710824
1280,88.39,88.419014,Kota Bandung,Rancasari,-0.02901397705078068
9305,63.41,63.4237,Kab. Karawang,Tirtajaya,-0.01369842529297216
8043,51.1,51.025322,Kab. Indramayu,Balongan,0.07467803955078267
