kabupaten_kota,kecamatan,jenis_usaha,avg_skor_potensi,avg_omset,survival_rate,avg_infrastruktur,avg_kompetitor,avg_internet,avg_financial_access,umkm_count,competition_inv,recommendation_score,rank,explanation
Kota Bekasi,Pondok Gede,Makanan,94.84666666666666,67.31333333333333,1.0,95.0,9.0,95.0,0.6224000000000001,9,0.1,1024.954,1,High survival (100%); Good infrastructure; Good internet (9500%)
Kota Bekasi,Bekasi Selatan,Makanan,91.99666666666667,65.27,0.8333333333333334,89.59999999999998,9.0,95.0,0.62,6,0.1,1018.7954912280702,2,High survival (83%); Good infrastructure; Good internet (9500%)
Kota Depok,Cilodong,Makanan,90.30142857142857,81.02714285714285,0.8095238095238095,86.5,10.0,95.0,0.619,21,0.09090909090909091,1016.9026864889496,3,High survival (81%); Good infrastructure; Good internet (9500%)
Kota Bandung,Rancasari,Makanan,87.59105263157895,64.94052631578947,0.6842105263157895,89.9,7.0,95.0,0.6737,19,0.125,1014.1838947368421,4,Good infrastructure; Good internet (9500%)
Kota Bandung,Astana Anyar,Makanan,90.62,48.51625,0.875,92.2,3.0,94.0,0.5863,8,0.25,1012.2215263157894,5,High survival (88%); Good infrastructure; Good internet (9400%)
Kota Depok,Sukmajaya,Makanan,81.33714285714285,64.6257142857143,0.6666666666666666,89.7,12.0,95.0,0.6455,21,0.07692307692307693,1011.1058662039716,6,Good infrastructure; Good internet (9500%)
Kota Bandung,Cibiru,Makanan,78.11250000000001,79.01625,0.6875,84.9,0.0,93.5,0.6163,16,1.0,1008.4949342105264,7,Low competition; Good infrastructure; Good internet (9350%)
Kota Bandung,Panyileukan,Makanan,96.385,67.448125,0.6875,86.5,1.0,93.3,0.6464000000000001,16,0.5,1004.8135263157894,8,Low competition; Good infrastructure; Good internet (9330%)
Kab. Bandung Barat,Cihampelas,Makanan,80.64333333333333,62.504999999999995,1.0,89.8,0.0,92.0,0.387,6,1.0,1003.0982631578948,9,High survival (100%); Low competition; Good infrastructure; Good internet (9200%)
Kota Cimahi,Cimahi Tengah,Makanan,83.74,75.52333333333333,1.0,88.09999999999998,0.0,91.8,0.5848,3,1.0,1001.6693684210527,10,High survival (100%); Low competition; Good infrastructure; Good internet (9180%)
