kabupaten_kota,kecamatan,latitude,longitude,is_kota,jenis_usaha,tahun_berdiri,jumlah_karyawan,has_digital_presence,omset_bulanan,populasi,kepadatan_penduduk,income_per_kapita,jarak_ke_jalan_utama,jarak_ke_pasar,akses_internet_pct,skor_infrastruktur,jumlah_kompetitor_radius_3km,jarak_ke_bank_terdekat,penetrasi_kur_pct,risiko_banjir,risiko_gempa,skor_potensi,is_survived_3yr
Kab. Bandung,Cileunyi,-6.995986940870557,107.66816931342925,False,Makanan,2010,2,1,21.74,93927,6979.0,8.85,2.16,5.98,65.8,72.0,0,6.65,18.0,0.05,0.349,62.99,1
Kab. Bandung,Cileunyi,-6.997196121164535,107.6631262659597,False,Makanan,2010,6,1,150.48,93927,6979.0,8.85,2.16,5.98,65.8,72.0,0,6.65,18.0,0.05,0.349,62.99,1
Kab. Bandung,Cileunyi,-7.0022149847001725,107.67134924956692,False,Makanan,2022,14,0,30.48,93927,6979.0,8.85,2.16,5.98,65.8,72.0,0,6.65,18.0,0.05,0.349,55.4,0
Kab. Bandung,Cileunyi,-6.999371589846532,107.66590616038,False,Fashion,2020,4,1,75.89,93927,6979.0,8.85,2.16,5.98,65.8,72.0,0,6.65,18.0,0.05,0.349,62.99,0
Kab. Bandung,Cileunyi,-7.003615978628441,107.66173947903656,False,Kerajinan,2019,4,0,62.11,93927,6979.0,8.85,2.16,5.98,65.8,72.0,0,6.65,18.0,0.05,0.349,55.4,0
Kab. Bandung,Cileunyi,-7.006668617257428,107.66477267760942,False,Kerajinan,2021,17,1,52.91,93927,6979.0,8.85,2.16,5.98,65.8,72.0,0,6.65,18.0,0.05,0.349,62.99,0
Kab. Bandung,Cileunyi,-6.999204602600372,107.66205707631767,False,Fashion,2023,1,1,31.97,93927,6979.0,8.85,2.16,5.98,65.8,72.0,0,6.65,18.0,0.05,0.349,62.99,1
Kab. Bandung,Cileunyi,-7.0058647650463355,107.6584790999456,False,Makanan,2010,1,0,84.44,93927,6979.0,8.85,2.16,5.98,65.8,72.0,0,6.65,18.0,0.05,0.349,55.4,1
Kab. Bandung,Cileunyi,-7.002702750619445,107.67131423761639,False,Makanan,2011,3,0,72.51,93927,6979.0,8.85,2.16,5.98,65.8,72.0,0,6.65,18.0,0.05,0.349,55.4,1
Kab. Bandung,Cileunyi,-7.004756095159454,107.66088279689923,False,Jasa,2010,1,1,135.66,93927,6979.0,8.85,2.16,5.98,65.8,72.0,0,6.65,18.0,0.05,0.349,62.99,1
Kab. Bandung,Cileunyi,-7.005436807722343,107.66807286378507,False,Makanan,2023,2,1,35.96,93927,6979.0,8.85,2.16,5.98,65.8,72.0,0,6.65,18.0,0.05,0.349,62.99,1
Kab. Bandung,Cileunyi,-6.996551164227971,107.66615594376759,False,Fashion,2012,1,1,52.54,93927,6979.0,8.85,2.16,5.98,65.8,72.0,0,6.65,18.0,0.05,0.349,62.99,1
Kab. Bandung,Cileunyi,-6.993438837183954,107.66150998441357,False,Kerajinan,2012,1,0,28.77,93927,6979.0,8.85,2.16,5.98,65.8,72.0,0,6.65,18.0,0.05,0.349,55.4,1
Kab. Bandung,Cimenyan,-6.938105439421628,107.61498333379284,False,Fashion,2019,4,1,94.76,200718,60915.2,8.22,1.53,0.81,80.0,86.3,22,2.22,37.5,0.236,0.174,68.53,0
Kab. Bandung,Cimenyan,-6.93537680391104,107.6060292203362,False,Kerajinan,2010,6,1,55.68,200718,60915.2,8.22,1.53,0.81,80.0,86.3,22,2.22,37.5,0.236,0.174,68.53,1
Kab. Bandung,Cimenyan,-6.941220627051117,107.61396335488243,False,Fashion,2023,13,0,56.77,200718,60915.2,8.22,1.53,0.81,80.0,86.3,22,2.22,37.5,0.236,0.174,60.93,1
Kab. Bandung,Cimenyan,-6.947941735516763,107.61158271475904,False,Pertanian,2022,1,1,44.94,200718,60915.2,8.22,1.53,0.81,80.0,86.3,22,2.22,37.5,0.236,0.174,68.53,0
Kab. Bandung,Cimenyan,-6.934891938308923,107.61433232818923,False,Kerajinan,2019,6,1,118.34,200718,60915.2,8.22,1.53,0.81,80.0,86.3,22,2.22,37.5,0.236,0.174,68.53,1
Kab. Bandung,Cimenyan,-6.9509102546566455,107.61093425046681,False,Fashion,2015,1,1,81.54,200718,60915.2,8.22,1.53,0.81,80.0,86.3,22,2.22,37.5,0.236,0.174,68.53,0
Kab. Bandung,Cimenyan,-6.950870392826163,107.60570938958979,False,Makanan,2012,1,1,119.05,200718,60915.2,8.22,1.53,0.81,80.0,86.3,22,2.22,37.5,0.236,0.174,68.53,1
Kab. Bandung,Cimenyan,-6.943030562919589,107.61408272300243,False,Kerajinan,2011,7,0,75.75,200718,60915.2,8.22,1.53,0.81,80.0,86.3,22,2.22,37.5,0.236,0.174,60.93,1
Kab. Bandung,Cimenyan,-6.944844206286201,107.61012450547106,False,Fashion,2023,3,0,28.35,200718,60915.2,8.22,1.53,0.81,80.0,86.3,22,2.22,37.5,0.236,0.174,60.93,0
Kab. Bandung,Cimenyan,-6.949499845017326,107.61128216804363,False,Jasa,2022,2,1,123.6,200718,60915.2,8.22,1.53,0.81,80.0,86.3,22,2.22,37.5,0.236,0.174,68.53,1
Kab. Bandung,Cimenyan,-6.949307743893217,107.61109164861868,False,Makanan,2016,2,1,108.98,200718,60915.2,8.22,1.53,0.81,80.0,86.3,22,2.22,37.5,0.236,0.174,68.53,1
Kab. Bandung,Cimenyan,-6.939331664621311,107.610953172816,False,Jasa,2014,3,1,118.18,200718,60915.2,8.22,1.53,0.81,80.0,86.3,22,2.22,37.5,0.236,0.174,68.53,1
Kab. Bandung,Cimenyan,-6.942057238882859,107.59625932720611,False,Makanan,2023,1,1,74.33,200718,60915.2,8.22,1.53,0.81,80.0,86.3,22,2.22,37.5,0.236,0.174,68.53,0
Kab. Bandung,Cimenyan,-6.93418502060653,107.61260347687546,False,Makanan,2022,8,0,40.32,200718,60915.2,8.22,1.53,0.81,80.0,86.3,22,2.22,37.5,0.236,0.174,60.93,1
Kab. Bandung,Cimenyan,-6.942640532217824,107.60676183511187,False,Kerajinan,2013,2,1,90.42,200718,60915.2,8.22,1.53,0.81,80.0,86.3,22,2.22,37.5,0.236,0.174,68.53,1
Kab. Bandung,Cimenyan,-6.952524324196127,107.60660823118201,False,Fashion,2014,12,1,75.16,200718,60915.2,8.22,1.53,0.81,80.0,86.3,22,2.22,37.5,0.236,0.174,68.53,1
Kab. Bandung,Cimenyan,-6.942777685769546,107.61074569478683,False,Makanan,2010,3,0,30.43,200718,60915.2,8.22,1.53,0.81,80.0,86.3,22,2.22,37.5,0.236,0.174,60.93,0
Kab. Bandung,Cimenyan,-6.947506985284915,107.60273699628917,False,Makanan,2019,6,1,53.43,200718,60915.2,8.22,1.53,0.81,80.0,86.3,22,2.22,37.5,0.236,0.174,68.53,1
Kab. Bandung,Cimenyan,-6.936780646135308,107.60318277251297,False,Kerajinan,2010,6,1,26.72,200718,60915.2,8.22,1.53,0.81,80.0,86.3,22,2.22,37.5,0.236,0.174,68.53,0
Kab. Bandung,Cimenyan,-6.9330972885027045,107.60503223568296,False,Kerajinan,2020,5,1,24.6,200718,60915.2,8.22,1.53,0.81,80.0,86.3,22,2.22,37.5,0.236,0.174,68.53,1
Kab. Bandung,Cimenyan,-6.946067663583565,107.60332723969069,False,Makanan,2015,2,0,60.04,200718,60915.2,8.22,1.53,0.81,80.0,86.3,22,2.22,37.5,0.236,0.174,60.93,1
Kab. Bandung,Cimenyan,-6.9402274593031725,107.61530527851197,False,Pertanian,2020,1,1,62.71,200718,60915.2,8.22,1.53,0.81,80.0,86.3,22,2.22,37.5,0.236,0.174,68.53,0
Kab. Bandung,Cimenyan,-6.943438665115335,107.6034431865636,False,Makanan,2023,8,0,24.77,200718,60915.2,8.22,1.53,0.81,80.0,86.3,22,2.22,37.5,0.236,0.174,60.93,0
Kab. Bandung,Cimenyan,-6.935755297439065,107.59803265949857,False,Makanan,2020,4,0,50.46,200718,60915.2,8.22,1.53,0.81,80.0,86.3,22,2.22,37.5,0.236,0.174,60.93,0
Kab. Bandung,Cimenyan,-6.942616685164409,107.60750295206705,False,Makanan,2024,2,0,50.97,200718,60915.2,8.22,1.53,0.81,80.0,86.3,22,2.22,37.5,0.236,0.174,60.93,1
Kab. Bandung,Cimenyan,-6.944496015013621,107.59966487912446,False,Makanan,2019,3,0,98.51,200718,60915.2,8.22,1.53,0.81,80.0,86.3,22,2.22,37.5,0.236,0.174,60.93,1
Kab. Bandung,Cimenyan,-6.940576435943996,107.60464860150289,False,Makanan,2012,4,1,85.23,200718,60915.2,8.22,1.53,0.81,80.0,86.3,22,2.22,37.5,0.236,0.174,68.53,0
Kab. Bandung,Cilengkrang,-7.0368480412474534,107.5424852793983,False,Kerajinan,2019,3,0,30.3,101745,1563.5,3.38,0.78,10.46,65.3,69.4,1,5.24,34.3,0.067,0.382,46.36,0
Kab. Bandung,Cilengkrang,-7.02745479552214,107.54121413706595,False,Makanan,2010,5,1,116.19,101745,1563.5,3.38,0.78,10.46,65.3,69.4,1,5.24,34.3,0.067,0.382,53.96,1
Kab. Bandung,Cilengkrang,-7.040328855023169,107.53949859742691,False,Kerajinan,2011,5,0,44.26,101745,1563.5,3.38,0.78,10.46,65.3,69.4,1,5.24,34.3,0.067,0.382,46.36,1
Kab. Bandung,Cilengkrang,-7.034506611045336,107.53287373726734,False,Makanan,2018,3,1,91.36,101745,1563.5,3.38,0.78,10.46,65.3,69.4,1,5.24,34.3,0.067,0.382,53.96,1
Kab. Bandung,Cilengkrang,-7.036893525228023,107.52960446729581,False,Makanan,2012,1,1,74.59,101745,1563.5,3.38,0.78,10.46,65.3,69.4,1,5.24,34.3,0.067,0.382,53.96,1
Kab. Bandung,Cilengkrang,-7.043984157747457,107.52614517789603,False,Fashion,2014,1,0,75.84,101745,1563.5,3.38,0.78,10.46,65.3,69.4,1,5.24,34.3,0.067,0.382,46.36,0
Kab. Bandung,Cilengkrang,-7.028354491335055,107.52512192496388,False,Makanan,2022,7,1,53.64,101745,1563.5,3.38,0.78,10.46,65.3,69.4,1,5.24,34.3,0.067,0.382,53.96,1
Kab. Bandung,Cilengkrang,-7.029493281811208,107.53066710580606,False,Makanan,2011,1,0,94.22,101745,1563.5,3.38,0.78,10.46,65.3,69.4,1,5.24,34.3,0.067,0.382,46.36,1
Kab. Bandung,Cilengkrang,-7.037952079936215,107.53819206400935,False,Jasa,2019,3,0,60.9,101745,1563.5,3.38,0.78,10.46,65.3,69.4,1,5.24,34.3,0.067,0.382,46.36,1
Kab. Bandung,Cilengkrang,-7.042063548726077,107.53408515823317,False,Pertanian,2022,11,1,36.04,101745,1563.5,3.38,0.78,10.46,65.3,69.4,1,5.24,34.3,0.067,0.382,53.96,0
Kab. Bandung,Cilengkrang,-7.044145599185748,107.54437046665255,False,Makanan,2024,2,1,21.91,101745,1563.5,3.38,0.78,10.46,65.3,69.4,1,5.24,34.3,0.067,0.382,53.96,0
Kab. Bandung,Cilengkrang,-7.039376660682325,107.53371827927926,False,Kerajinan,2014,4,0,32.46,101745,1563.5,3.38,0.78,10.46,65.3,69.4,1,5.24,34.3,0.067,0.382,46.36,1
Kab. Bandung,Cilengkrang,-7.031774043412003,107.53179323758684,False,Makanan,2022,2,0,19.65,101745,1563.5,3.38,0.78,10.46,65.3,69.4,1,5.24,34.3,0.067,0.382,46.36,0
Kab. Bandung,Cilengkrang,-7.039863364523971,107.53927025654664,False,Kerajinan,2014,1,1,21.77,101745,1563.5,3.38,0.78,10.46,65.3,69.4,1,5.24,34.3,0.067,0.382,53.96,1
Kab. Bandung,Bojongsoang,-7.046909079933733,107.65626795553743,False,Kerajinan,2014,1,1,55.92,51674,3452.9,7.9,0.65,9.8,70.4,72.9,0,1.5,35.3,0.147,0.442,67.96,0
Kab. Bandung,Bojongsoang,-7.05915021693779,107.64606069304186,False,Makanan,2015,11,1,93.77,51674,3452.9,7.9,0.65,9.8,70.4,72.9,0,1.5,35.3,0.147,0.442,67.96,0
Kab. Bandung,Bojongsoang,-7.0427219938603685,107.65106306768739,False,Kerajinan,2012,5,0,25.11,51674,3452.9,7.9,0.65,9.8,70.4,72.9,0,1.5,35.3,0.147,0.442,60.37,1
Kab. Bandung,Bojongsoang,-7.0547857231857485,107.65279649432775,False,Makanan,2016,3,0,15.58,51674,3452.9,7.9,0.65,9.8,70.4,72.9,0,1.5,35.3,0.147,0.442,60.37,1
