kabupaten_kota,kecamatan,latitude,longitude,is_kota,jenis_usaha,tahun_berdiri,jumlah_karyawan,has_digital_presence,omset_bulanan,populasi,kepadatan_penduduk,income_per_kapita,jarak_ke_jalan_utama,jarak_ke_pasar,akses_internet_pct,skor_infrastruktur,jumlah_kompetitor_radius_3km,jarak_ke_bank_terdekat,penetrasi_kur_pct,risiko_banjir,risiko_gempa,skor_potensi,is_survived_3yr,business_maturity,infra_x_income,competition_density_ratio,avg_distance_to_facilities,market_gap_score,digital_readiness_index,risk_composite,financial_access_score,omset_per_karyawan,location_advantage
Kab. Bandung,Cileunyi,-6.995986940870557,107.66816931342925,False,Makanan,2010,2,1,21.74,93927,6979.0,8.85,2.16,5.98,65.8,72.0,0,6.65,18.0,0.05,0.349,62.99,1,14,0.42479999999999996,0.0,4.930000000000001,93927.0,0.829,0.19949999999999998,0.45699999999999996,10.87,57.635999999999996
Kab. Bandung,Cileunyi,-6.997196121164535,107.6631262659597,False,Makanan,2010,6,1,150.48,93927,6979.0,8.85,2.16,5.98,65.8,72.0,0,6.65,18.0,0.05,0.349,62.99,1,14,0.42479999999999996,0.0,4.930000000000001,93927.0,0.829,0.19949999999999998,0.45699999999999996,25.08,57.635999999999996
Kab. Bandung,Cileunyi,-7.0022149847001725,107.67134924956692,False,Makanan,2022,14,0,30.48,93927,6979.0,8.85,2.16,5.98,65.8,72.0,0,6.65,18.0,0.05,0.349,55.4,0,2,0.42479999999999996,0.0,4.930000000000001,93927.0,0.32899999999999996,0.19949999999999998,0.45699999999999996,2.177142857142857,57.635999999999996
Kab. Bandung,Cileunyi,-6.999371589846532,107.66590616038,False,Fashion,2020,4,1,75.89,93927,6979.0,8.85,2.16,5.98,65.8,72.0,0,6.65,18.0,0.05,0.349,62.99,0,4,0.42479999999999996,0.0,4.930000000000001,93927.0,0.829,0.19949999999999998,0.45699999999999996,18.9725,57.635999999999996
Kab. Bandung,Cileunyi,-7.003615978628441,107.66173947903656,False,Kerajinan,2019,4,0,62.11,93927,6979.0,8.85,2.16,5.98,65.8,72.0,0,6.65,18.0,0.05,0.349,55.4,0,5,0.42479999999999996,0.0,4.930000000000001,93927.0,0.32899999999999996,0.19949999999999998,0.45699999999999996,15.5275,57.635999999999996
Kab. Bandung,Cileunyi,-7.006668617257428,107.66477267760942,False,Kerajinan,2021,17,1,52.91,93927,6979.0,8.85,2.16,5.98,65.8,72.0,0,6.65,18.0,0.05,0.349,62.99,0,3,0.42479999999999996,0.0,4.930000000000001,93927.0,0.829,0.19949999999999998,0.45699999999999996,3.1123529411764705,57.635999999999996
Kab. Bandung,Cileunyi,-6.999204602600372,107.66205707631768,False,Fashion,2023,1,1,31.97,93927,6979.0,8.85,2.16,5.98,65.8,72.0,0,6.65,18.0,0.05,0.349,62.99,1,1,0.42479999999999996,0.0,4.930000000000001,93927.0,0.829,0.19949999999999998,0.45699999999999996,31.97,57.635999999999996
Kab. Bandung,Cileunyi,-7.005864765046336,107.6584790999456,False,Makanan,2010,1,0,84.44,93927,6979.0,8.85,2.16,5.98,65.8,72.0,0,6.65,18.0,0.05,0.349,55.4,1,14,0.42479999999999996,0.0,4.930000000000001,93927.0,0.32899999999999996,0.19949999999999998,0.45699999999999996,84.44,57.635999999999996
Kab. Bandung,Cileunyi,-7.002702750619445,107.6713142376164,False,Makanan,2011,3,0,72.51,93927,6979.0,8.85,2.16,5.98,65.8,72.0,0,6.65,18.0,0.05,0.349,55.4,1,13,0.42479999999999996,0.0,4.930000000000001,93927.0,0.32899999999999996,0.19949999999999998,0.45699999999999996,24.17,57.635999999999996
Kab. Bandung,Cileunyi,-7.004756095159454,107.66088279689924,False,Jasa,2010,1,1,135.66,93927,6979.0,8.85,2.16,5.98,65.8,72.0,0,6.65,18.0,0.05,0.349,62.99,1,14,0.42479999999999996,0.0,4.930000000000001,93927.0,0.829,0.19949999999999998,0.45699999999999996,135.66,57.635999999999996
Kab. Bandung,Cileunyi,-7.005436807722343,107.66807286378508,False,Makanan,2023,2,1,35.96,93927,6979.0,8.85,2.16,5.98,65.8,72.0,0,6.65,18.0,0.05,0.349,62.99,1,1,0.42479999999999996,0.0,4.930000000000001,93927.0,0.829,0.19949999999999998,0.45699999999999996,17.98,57.635999999999996
Kab. Bandung,Cileunyi,-6.996551164227971,107.6661559437676,False,Fashion,2012,1,1,52.54,93927,6979.0,8.85,2.16,5.98,65.8,72.0,0,6.65,18.0,0.05,0.349,62.99,1,12,0.42479999999999996,0.0,4.930000000000001,93927.0,0.829,0.19949999999999998,0.45699999999999996,52.54,57.635999999999996
Kab. Bandung,Cileunyi,-6.993438837183954,107.66150998441356,False,Kerajinan,2012,1,0,28.77,93927,6979.0,8.85,2.16,5.98,65.8,72.0,0,6.65,18.0,0.05,0.349,55.4,1,12,0.42479999999999996,0.0,4.930000000000001,93927.0,0.32899999999999996,0.19949999999999998,0.45699999999999996,28.77,57.635999999999996
